class,bytes_rev,bytes,packets,packets_rev,packets_sum,bytes_ration,num_pkts_ration,time,av_pkt_size,av_pkt_size_rev,var_pkt_size,var_pkt_size_rev,median_pkt_size,median_pkt_size_rev,mindelay,avgdelay,maxdelay,bursts,fizzles,time_leap_ration,autocorr,stSum,ndSum,rdSum
True,4633,2620,42,44,86,0.5655083099503562,0.9545454545454546,300000.332,62.38095238095238,105.29545454545456,222.234375,20012.693877551024,50.5,111.5,0.524,57020.5468275862,190225.196,0,0,1.0,0.3887002868912041,2,-1,1
True,7645,2444,17,10,27,0.319686069326357,1.7,3843.064,143.76470588235293,764.5,25830.888888888887,575816.4897959182,306.5,797.0,47.278,1361.6141666666665,3792.824,0,0,1.0,0.3423603662254908,-2,-1,0
True,6071,1516,13,16,29,0.2497117443584253,0.8125,5344.424000000001,116.6153846153846,379.4375,26559.33333333333,388923.984375,106.5,385.0,37.27,550.1176923076923,5274.331999999999,0,0,1.0,0.0,-2,3,-3
False,4184,1443,12,11,23,0.3448852772466539,1.0909090909090908,1029.022,120.25,380.3636363636364,35057.1875,1845169.5,143.5,162.0,26.746,573.6391428571429,999.078,0,0,1.0,0.7541408864295233,0,-1,-1
True,5509,2940,48,47,95,0.5336721728081322,1.0212765957446808,300003.00200000004,61.25,117.2127659574468,195.1288888888889,22768.06222222222,65.0,321.0,3.832,35185.985034482765,133845.342,0,0,1.0,0.3247067776594581,6,-7,-1
False,8482,2603,16,14,30,0.3068851685923131,1.1428571428571428,5369.022,162.6875,605.8571428571429,33713.13888888888,545750.2448979592,372.5,818.0,8.489999999999998,1765.6168333333335,5342.523999999999,0,0,1.0,0.3249050773734869,0,-1,0
False,5333,902,7,11,18,0.1691355709731858,0.6363636363636364,128.108,128.85714285714286,484.8181818181818,44944.0,422762.5833333333,305.0,859.0,50.03,63.594,93.63,0,0,1.0,0.0,0,-1,-1
False,5537,1400,12,8,20,0.2528445006321112,1.5,971.448,116.66666666666669,692.125,37528.5,3340900.6875,125.5,323.5,30.64,536.9391428571428,935.204,0,0,1.0,0.1198183960311796,0,-1,1
True,4111,1292,12,10,22,0.3142787642909267,1.2,148.18200000000002,107.66666666666669,411.1,37528.5,453273.6875,125.5,994.0,9.128,91.88085714285717,128.64,0,0,1.0,0.8686366566862685,0,1,-1
True,7189,1253,14,12,26,0.1742940603700097,1.1666666666666667,1765.502,89.5,599.0833333333334,0.0,350328.024691358,517.0,531.0,276.05,279.26244444444444,284.60400000000004,0,0,1.0,0.0,-1,-2,-3
False,5547,2423,11,9,20,0.4368126915449792,1.2222222222222223,16899.124000000003,220.27272727272728,616.3333333333334,48437.1875,204905.25,590.0,719.5,98.08,188.55577777777776,349.024,0,0,1.0,0.0,-1,2,-1
False,156,271,4,3,7,1.7371794871794872,1.3333333333333333,6.126,67.75,52.0,56.25,0.0,31.5,0.0,4.144,4.144,4.144,0,0,1.0,0.0,0,0,0
False,152783,2827,46,106,152,0.0185033675212556,0.4339622641509434,46816.448,61.45652173913044,1441.3490566037735,1225.0,69931.32015306124,81.0,1448.0,28.558,20071.636551724136,20801.062,0,0,1.0,0.0,-6,-9,-9
False,917,745,7,4,11,0.8124318429661941,1.75,5345.74,106.42857142857144,229.25,0.0,0.0,373.0,701.0,621.194,621.194,621.194,0,0,1.0,0.0,0,0,0
True,5326,1320,10,10,20,0.2478407810739767,1.0,994.242,132.0,532.6,37528.5,1385474.75,125.5,928.0,39.844,657.766,919.582,0,0,1.0,0.9663789357889492,0,1,-1
